# Hypersim camera parameters for the test scenes: apple/ml-hypersim 3463c5c4a75f3cbfc65ed31cfd6e87204b3a2254
# contrib/mikeroberts3000/metadata_camera_parameters.csv (rays: M_cam_from_uv @ [u, v, 1], camera looking down -z)
scene_name,settings_output_img_width,settings_output_img_height,settings_units_info_meters_scale,M_cam_from_uv_00,M_cam_from_uv_01,M_cam_from_uv_02,M_cam_from_uv_10,M_cam_from_uv_11,M_cam_from_uv_12,M_cam_from_uv_20,M_cam_from_uv_21,M_cam_from_uv_22
ai_001_010,1024.0,768.0,0.02539999969303608,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_003_007,1024.0,768.0,0.009999999776482582,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_005_001,1024.0,768.0,0.02539999969303608,0.5773502885062871,0.0,-0.0,0.0,0.4330127163797153,-0.0,-0.0,-0.0,-1.0000000003832106
ai_005_010,1024.0,768.0,0.02539999969303608,0.5773502886287839,0.0,-0.0,0.0,0.43301271647158784,-0.0,-0.0,-0.0,-0.9999999999588688
ai_008_005,1024.0,768.0,0.009999999776482582,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_008_007,1024.0,768.0,0.02539999969303608,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_010_003,1024.0,768.0,0.02539999969303608,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_010_004,1024.0,768.0,0.02539999969303608,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_011_007,1024.0,768.0,0.025499999523162842,0.57735028859013,0.0,-0.0,0.0,0.43301271644259753,-0.0,-0.0,-0.0,-1.0000000000927698
ai_013_010,1024.0,768.0,0.009999999776482582,0.5782589206140973,0.0,-0.0,0.0,0.43301307270417905,-0.0,-0.0,0.02429670155673581,-1.0015737976799868
ai_014_006,1024.0,768.0,0.02539999969303608,0.5773502887305059,0.0,-0.0,0.0,0.43301271654787943,-0.0,-0.0,-0.0,-0.9999999996064934
ai_015_010,1024.0,768.0,0.009999999776482582,0.5773502999356381,0.0,-0.0,0.0,0.43301271632600347,-0.0,-0.0,8.642972534422617e-05,-1.0000000205515533
ai_018_001,1024.0,768.0,0.0010000000474974513,0.5776071802074145,0.0,-0.0,0.0,0.43301274517748445,-0.0,-0.0,0.012917749093273635,-1.0004449481336546
ai_021_001,1024.0,768.0,0.009999999776482582,0.5785460058212633,0.0,-0.0,0.0,0.43387717500645195,-0.0,-0.034712759573385134,-0.0265679093258693,-1.003272088624335
ai_022_001,1024.0,768.0,0.009999999776482582,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_022_003,1024.0,768.0,0.009999999776482582,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_022_006,1024.0,768.0,0.009999999776482582,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_023_005,1024.0,768.0,0.009999999776482582,0.5773502885607666,0.0,-0.0,0.0,0.43301271642057504,-0.0,-0.0,-0.0,-1.0000000001944882
ai_024_002,1024.0,768.0,1.0,0.6182308888719918,0.0,-0.0,0.0,0.4336453749042348,-0.0,-0.0,-0.16414778188908927,-1.0708072732233964
ai_024_003,1024.0,768.0,1.0,0.6040435542749696,0.0,-0.0,0.0,0.4332948908598986,-0.0,-0.0,-0.13226539135994297,-1.0462340917202966
ai_024_005,1024.0,768.0,1.0,0.6063250509526507,0.0,-0.0,0.0,0.4333427511739377,-0.0,-0.0,-0.13786215189335213,-1.0501857586328127
ai_024_007,1024.0,768.0,1.0,0.5774088550939778,0.0,-0.0,0.0,0.4330127180931828,-0.0,-0.0,0.006167703083929933,-1.0001014391020613
ai_026_002,1024.0,768.0,0.009999999776482582,0.5775812283563692,0.0,-0.0,0.0,0.4331859212672766,-0.034654872926785346,-0.0,-1.2909945709925402e-08,-1.0003999992632953
