key,environment,family,difficulty,trajectory,start,frames,split,depth_median_m,depth_max_m,depth_masked_columns,flow_valid_share,boundary_share,lum_mean,step_m_median,sha256
AbandonedCable/easy/P000/000665,AbandonedCable,AbandonedCable,easy,P000,665,32,train,8.4922,3654.0,0,0.9894,0.4443,0.6691,0.0824,b092c7dc7ca7eec1c439ef17c65032ec277fe6fd6f7b1c92dc1e824634e10794
AbandonedCable/easy/P000/002026,AbandonedCable,AbandonedCable,easy,P000,2026,32,train,8.6094,3474.0,0,0.9759,0.4499,0.8315,0.2261,0042b3e454ce67192568caccb8adf3a17329ea178c5f8b3d0466af71ceb46de8
AbandonedCable/easy/P001/000280,AbandonedCable,AbandonedCable,easy,P001,280,32,train,9.1094,4022.0,0,0.9888,0.6008,0.0814,0.2067,ee18d0dab19be047485c6c363bb7ead0fdd5763168a0def5dc077c3aafc9c1b4
AbandonedCable/easy/P001/000871,AbandonedCable,AbandonedCable,easy,P001,871,32,train,12.2109,3584.0,0,0.9881,0.5692,0.5556,0.0864,46428167d101ee10d1ca680463ca7bf8b4efffd071f65103df064f725dac8578
AbandonedCable/easy/P002/001017,AbandonedCable,AbandonedCable,easy,P002,1017,32,train,4.0469,3696.0,0,0.9342,0.406,0.8287,0.2878,4244bf5a21ba8e054867334d8d1142f50660d85a02281d6a066f5dd01cee993c
AbandonedCable/easy/P002/003082,AbandonedCable,AbandonedCable,easy,P002,3082,32,train,6.5293,3838.0,0,0.9581,0.2998,0.8069,0.3375,4d42629ba6662a4a404c8341ed33e40f3e541e75bbfd33551653d92c7ea7e449
AbandonedCable/easy/P003/001177,AbandonedCable,AbandonedCable,easy,P003,1177,32,train,4.1602,4086.0,0,0.9591,0.4113,0.2263,0.0854,0d9cb8810e8aa00e076bf596a5021ae47cf7029bbb0abf289aa34e4265cdca84
AbandonedCable/easy/P003/003564,AbandonedCable,AbandonedCable,easy,P003,3564,32,train,7.1367,3398.0,0,0.9842,0.5203,0.5813,0.163,302e23b17cd09bbaccdbb5c4d2382e39f603f9b43822ffc592f3514cc03663ba
AbandonedCable/easy/P004/000731,AbandonedCable,AbandonedCable,easy,P004,731,32,train,4.8125,58368.0,0,0.9733,0.3641,0.3054,0.1903,a7ae67e80e3abe4bd851ea2c78d6da7b3789f054b4e5b58e752d0295d3539f74
AbandonedCable/easy/P004/002224,AbandonedCable,AbandonedCable,easy,P004,2224,32,train,6.1211,49056.0,0,0.9707,0.5821,0.1676,0.1378,31452fe552451b7ffd40887197cd6601de57d94a8af9847aad11020939af6835
AbandonedCable/easy/P005/000724,AbandonedCable,AbandonedCable,easy,P005,724,32,train,7.6289,48512.0,0,0.9752,0.475,0.6001,0.3877,0e77023ba3fd3d03e0a7bff83eb91a10a0e84c74f08aef3c1dc365ebe9ed15b4
AbandonedCable/easy/P005/002206,AbandonedCable,AbandonedCable,easy,P005,2206,32,train,4.5254,48.38,0,0.985,0.1875,0.1617,0.1575,e6051871f5eee7ba84a63677ce2f36acb7a008dae0fa0a6568bd7b706919f90d
AbandonedCable/easy/P006/000720,AbandonedCable,AbandonedCable,easy,P006,720,32,train,3.9316,59648.0,0,0.9767,0.2601,0.1402,0.1046,98014005748e91f4a48d286f3aac849915d7faa6476785546087cbad7cd678c3
AbandonedCable/easy/P006/002191,AbandonedCable,AbandonedCable,easy,P006,2191,32,train,5.3398,51040.0,0,0.9333,0.4696,0.0483,0.1966,f69f1453e2373d9607784eff81a24406dd9e2d156166c3e4a261b246f29ed547
